z    mass    j
33.0   31622776.60168379   2.735e+03
33.0   316227766.01683795   1.016e+05
33.0   3162277660.1683793   2.595e+07
34.0   31622776601.683792   1.036e+12
34.0   31622.776601683792   7.988e-02
34.0   316227.7660168379   1.061e+00
34.0   3162277.6601683795   6.512e+01
34.0   31622776.60168379   4.267e+03
34.0   316227766.01683795   1.880e+05
34.0   3162277660.1683793   6.436e+07
35.0   31622776601.683792   4.398e+12
35.0   31622.776601683792   6.670e-02
35.0   316227.7660168379   1.112e+00
35.0   3162277.6601683795   8.899e+01
35.0   31622776.60168379   6.702e+03
35.0   316227766.01683795   3.571e+05
35.0   3162277660.1683793   1.651e+08
36.0   31622776601.683792   1.876e+13
36.0   31622.776601683792   5.699e-02
36.0   316227.7660168379   1.192e+00
36.0   3162277.6601683795   1.247e+02
36.0   31622776.60168379   1.061e+04
36.0   316227766.01683795   6.761e+05
36.0   3162277660.1683793   4.509e+08
37.0   31622776601.683792   8.943e+13
37.0   31622.776601683792   4.887e-02
37.0   316227.7660168379   1.273e+00
37.0   3162277.6601683795   1.764e+02
37.0   31622776.60168379   1.702e+04
37.0   316227766.01683795   1.297e+06
37.0   3162277660.1683793   1.297e+09
38.0   31622776601.683792   4.884e+14
38.0   31622.776601683792   4.287e-02
38.0   316227.7660168379   1.387e+00
38.0   3162277.6601683795   2.526e+02
38.0   31622776.60168379   2.757e+04
38.0   316227766.01683795   2.544e+06
38.0   3162277660.1683793   3.459e+09
39.0   31622776601.683792   2.835e+15
39.0   31622.776601683792   3.793e-02
39.0   316227.7660168379   1.523e+00
39.0   3162277.6601683795   3.628e+02
39.0   31622776.60168379   4.474e+04
39.0   316227766.01683795   5.162e+06
39.0   3162277660.1683793   9.744e+09
40.0   31622776601.683792   1.386e+16
40.0   31622.776601683792   3.370e-02
40.0   316227.7660168379   1.680e+00
40.0   3162277.6601683795   5.315e+02
40.0   31622776.60168379   7.343e+04
40.0   316227766.01683795   1.069e+07
40.0   3162277660.1683793   2.807e+10
41.0   31622776601.683792   7.106e+16
41.0   31622.776601683792   2.987e-02
41.0   316227.7660168379   1.853e+00
41.0   3162277.6601683795   7.885e+02
41.0   31622776.60168379   1.215e+05
41.0   316227766.01683795   2.172e+07
41.0   3162277660.1683793   8.797e+10
42.0   31622776601.683792   4.066e+17
42.0   31622.776601683792   2.680e-02
42.0   316227.7660168379   2.076e+00
42.0   3162277.6601683795   1.182e+03
42.0   31622776.60168379   2.041e+05
42.0   316227766.01683795   4.489e+07
42.0   3162277660.1683793   2.909e+11
43.0   31622776601.683792   2.807e+18
43.0   31622.776601683792   2.401e-02
43.0   316227.7660168379   2.333e+00
43.0   3162277.6601683795   1.771e+03
43.0   31622776.60168379   3.504e+05
43.0   316227766.01683795   9.513e+07
43.0   3162277660.1683793   8.700e+11
44.0   31622776601.683792   2.132e+19
44.0   31622.776601683792   2.161e-02
44.0   316227.7660168379   2.643e+00
44.0   3162277.6601683795   2.716e+03
44.0   31622776.60168379   5.969e+05
44.0   316227766.01683795   2.077e+08
44.0   3162277660.1683793   2.704e+12
45.0   31622776601.683792   1.252e+20
45.0   31622.776601683792   1.934e-02
45.0   316227.7660168379   3.018e+00
45.0   3162277.6601683795   4.208e+03
45.0   31622776.60168379   1.025e+06
45.0   316227766.01683795   4.662e+08
45.0   3162277660.1683793   8.820e+12
46.0   31622776601.683792   7.642e+20
46.0   31622.776601683792   1.759e-02
46.0   316227.7660168379   3.445e+00
46.0   3162277.6601683795   6.584e+03
46.0   31622776.60168379   1.783e+06
46.0   316227766.01683795   1.033e+09
46.0   3162277660.1683793   3.087e+13
47.0   31622776601.683792   4.993e+21
47.0   31622.776601683792   1.605e-02
47.0   316227.7660168379   4.004e+00
47.0   3162277.6601683795   1.038e+04
47.0   31622776.60168379   3.126e+06
47.0   316227766.01683795   2.321e+09
47.0   3162277660.1683793   1.165e+14
48.0   31622776601.683792   3.835e+22
48.0   31622.776601683792   1.458e-02
48.0   316227.7660168379   4.658e+00
48.0   3162277.6601683795   1.632e+04
48.0   31622776.60168379   5.589e+06
48.0   316227766.01683795   5.285e+09
48.0   3162277660.1683793   4.171e+14
49.0   31622776601.683792   3.554e+23
49.0   31622.776601683792   1.328e-02
49.0   316227.7660168379   5.457e+00
49.0   3162277.6601683795   2.590e+04
49.0   31622776.60168379   1.008e+07
49.0   316227766.01683795   1.248e+10
49.0   3162277660.1683793   1.445e+15
50.0   31622776601.683792   3.420e+24
50.0   31622.776601683792   1.216e-02
50.0   316227.7660168379   6.454e+00
50.0   3162277.6601683795   4.107e+04
50.0   31622776.60168379   1.821e+07
50.0   316227766.01683795   3.019e+10
50.0   3162277660.1683793   4.963e+15
6.0   31622776601.683792   2.784e+01
6.0   31622.776601683792   2.594e+01
6.0   316227.7660168379   2.598e+01
6.0   3162277.6601683795   2.605e+01
6.0   31622776.60168379   2.617e+01
6.0   316227766.01683795   2.639e+01
6.0   3162277660.1683793   2.681e+01
7.0   31622776601.683792   3.896e+01
7.0   31622.776601683792   3.504e+01
7.0   316227.7660168379   3.512e+01
7.0   3162277.6601683795   3.525e+01
7.0   31622776.60168379   3.547e+01
7.0   316227766.01683795   3.590e+01
7.0   3162277660.1683793   3.672e+01
8.0   31622776601.683792   5.103e+01
8.0   31622.776601683792   4.260e+01
8.0   316227.7660168379   4.273e+01
8.0   3162277.6601683795   4.295e+01
8.0   31622776.60168379   4.332e+01
8.0   316227766.01683795   4.407e+01
8.0   3162277660.1683793   4.599e+01
9.0   31622776601.683792   6.296e+01
9.0   31622.776601683792   4.814e+01
9.0   316227.7660168379   4.834e+01
9.0   3162277.6601683795   4.865e+01
9.0   31622776.60168379   4.924e+01
9.0   316227766.01683795   5.045e+01
9.0   3162277660.1683793   5.346e+01
