z,median_bh_mass,median_stellar_mass
24.54147936248468,10.0,2818.182029276197
24.041945258307663,10.17314427407256,3016.576174165377
23.551927326295115,10.354726502781645,3226.8374810410314
23.07144404592832,10.545182600263585,3461.3149968251873
22.60049089021052,10.744976255861266,3691.6250493816297
22.13850710352168,10.954852672678793,3955.350781754311
21.686025408348456,11.17510080204971,4385.529720489916
21.24199288256228,11.406816242797367,4848.086782909921
20.80692151688946,11.650371622264846,5330.81833641209
20.380313007782437,11.906718362833121,5878.326905219603
19.962163295252072,12.176597015005813,6489.563655368645
19.55202745750868,12.461104255637771,7122.0082359757325
19.149915370355444,12.761120662871567,8287.551667815886
18.75581808842704,13.077591401003351,10317.822522564322
18.36933446966762,13.411868412023424,12866.622723457036
17.99046678567359,13.765079546576633,16342.147099595015
17.618853451004487,14.138801401401341,20562.674163401407
17.25450429893576,14.534384025907993,25767.42027347377
16.89741203421985,14.953284944841387,32135.198989615146
16.54724595974662,15.397485095231453,39670.684213451765
16.204005092385508,15.868736761148801,55658.198158998115
15.867388590898358,16.36937868555791,78569.82628758813
15.537399328581586,16.90152533820794,111028.18140861433
15.21376224139049,17.46795306924485,156631.36762524815
14.896734810669887,18.070722629041533,223196.25414390865
14.58554907889405,18.714127219054614,310857.2281909436
14.280706579872254,19.400255301060692,441150.1082395038
13.98172229879547,20.1335820784273,546662.5876528514
13.688601645123384,20.917909929766985,644972.2986381615
13.401336444022006,21.757405411866305,767830.5999412045
13.119507511577996,22.657971213923066,904526.3545150604
12.843321289643812,23.624135267817984,1050657.8877092698
12.572572545400256,24.662282941582266,1242325.9029382165
12.306896964696804,25.78031788470099,1479358.0140387956
12.046654837699617,26.983857039605205,1707911.487835892
11.791322366906291,28.283279593041446,1961567.253995271
11.541072010835483,29.686714521570885,2311756.4211030724
11.29573706795854,31.20503480646577,2678551.0903951754
11.055164432442858,32.85046302325333,3104662.9645650163
10.819353008616307,34.635652435244396,3545530.276233432
10.588156903644476,36.57591636499021,4110708.527671173
10.361441539702556,38.68855791576183,4744091.082614211
10.139206665701268,40.991811839903036,5430794.410345812
9.921203516627534,43.50906814602874,6238439.2619457105
9.707555250985097,46.26244901946247,7145081.495274095
9.498026371042243,49.28169038691791,8039523.283663286
9.292725101897975,52.59555651121666,9140302.190208957
9.091326504869064,56.244129091248574,10345117.682710126
8.893936995409213,60.26554360143205,11694386.667961508
8.700356003065313,64.7097036819235,13342395.5429583
8.510585281418217,69.62946858217424,15095731.123518968
8.324530976091902,75.08803485481938,17047937.73880405
8.142104878227164,81.15844442243052,19324170.065846417
7.963223892369607,87.92533330920526,22047371.964138553
7.787886776866767,95.48347292747773,24917125.770873815
7.615936035290874,103.95024658827336,27795055.68142211
7.447372867038352,113.4549896654811,31059848.65868391
7.282122210995345,124.15287438400478,34878422.71683877
7.120046771469404,136.23130734601443,38522738.48331082
6.961212970408171,149.89472532177248,42607658.18500575
6.805487257542052,165.40102719944318,47385842.993172824
6.652748867393167,183.0572842933655,52219421.89433009
6.503057495929591,203.20589216203126,58508598.06877494
6.356240666769653,226.2869646643616,63668233.46309311
6.21235331876438,252.7906736169422,70814293.53160143
6.071235627713588,283.34560927212164,78877519.93652815
5.932889628397116,318.6758427998024,88190958.3978351
5.797264780652266,359.66708935750955,98165525.73848176
5.664267530355739,407.41040932950955,108391852.23440184
5.53389786210862,463.1998655221954,121035302.09073597
5.406067827446157,528.6551149291591,134628752.58026215
5.280736353530088,605.7443877320017,150448494.98807853
5.1578629752330745,696.8917075609488,166140874.5695623
5.037371328523561,805.1305600711293,184278551.43466032
4.919261276192731,934.1591320276742,185300040.4873012
