z,median_bh_mass,median_stellar_mass
24.541479362484676,100000.0,4335.439208593731
24.041945258307663,101094.1793667867,4678.094253298677
23.551927326295115,102233.46422747243,5047.530206532884
23.071444045928317,103420.91491479766,5453.860252273765
22.600490890210516,104658.50295313823,5897.925102529657
22.138507103521682,105948.30002237335,6389.357729044366
21.686025408348456,107293.8310516571,6915.091222712144
21.24199288256228,108697.47942792834,7498.246547887873
20.80692151688946,110163.16577293343,9103.728135823767
20.380313007782433,111693.63528358423,11021.506096087991
19.962163295252072,113291.78389239777,13779.305140816086
19.552027457508682,114962.18429547908,16966.623836898
19.149915370355444,116708.17787447761,20816.199431039888
18.75581808842704,118534.89204684061,25645.817678505697
18.36933446966762,120446.18842002586,32480.974650945405
17.99046678567359,122447.837290027,41334.4325994083
17.618853451004487,124542.5835481599,58429.36773204846
17.25450429893576,126740.34921194245,85294.34019349937
16.89741203421985,129042.81644252645,119751.46619401588
16.54724595974662,131459.09417671757,170025.3437983356
16.204005092385508,133995.20423354174,247229.5429642445
15.867388590898358,136657.5601728956,348526.2762104047
15.537399328581586,139457.0971683165,480821.26803898625
15.21376224139049,142399.3710134795,579249.5684993106
14.896734810669887,145494.5577107337,701202.4305879604
14.58554907889405,148755.9153711791,846721.539794422
14.280706579872254,152188.60083619927,1015412.7426341776
13.98172229879547,155809.88034177735,1211666.7009399813
13.688601645123384,159628.77422490568,1461637.0266466832
13.401336444022006,163659.96212633004,1727477.393200649
13.119507511577996,167919.39401552087,2055086.9234708976
12.843321289643812,172421.650132358,2441712.0023419578
12.572572545400256,177185.31234350012,2871471.469851795
12.306896964696804,182230.6321385979,3355805.7224914115
12.046654837699615,187576.60360806508,3889065.4174407246
11.791322366906291,193250.22205671002,4578693.668240318
11.541072010835485,199271.14692221078,5307728.381354406
11.29573706795854,205670.92847495974,6222703.947675926
11.055164432442858,212473.4344898838,7189625.894440195
10.819353008616309,219719.55402859717,8164266.997595947
10.588156903644476,227438.84950508803,9301341.414754834
10.361441539702557,229854.1326138847,10741709.760964042
10.139206665701268,238178.4599843856,12293188.213465875
9.921203516627534,247066.75865413307,14077250.012455901
9.707555250985095,256568.38858311312,16088087.564136583
9.498026371042245,266737.842723083,18135053.95020335
9.292725101897977,277635.3672636167,20619788.86169458
9.091326504869064,289322.28121309204,23708873.147030294
8.893936995409213,301877.3571836191,26885366.87279533
8.700356003065313,315376.68043965247,30208458.33819692
8.510585281418217,329910.5218248003,33958346.81585804
8.324530976091902,333313.316395506,38104293.18513154
8.142104878227164,349150.555665021,42425282.55449694
7.963223892369607,366241.4128285238,47019017.92262681
7.787886776866767,384718.7708651799,51486433.26528608
7.615936035290874,404732.2235412256,56375288.33431004
7.447372867038352,408780.5625193889,61377147.87750318
7.282122210995345,430690.08872772055,65537955.37208228
7.120046771469404,454492.26655744424,70785845.33090737
6.961212970408171,458909.4896532383,75922789.24120763
6.805487257542052,485040.26614060305,81249488.22723624
6.652748867393167,513517.81353469414,86816460.45982039
6.503057495929591,518359.654122531,93659946.20045686
6.356240666769653,549727.5713179446,99520471.1152047
6.21235331876438,554760.147943223,107463053.39578086
6.0712356277135875,589360.5117531832,113540924.40691006
5.932889628397116,594597.0474907721,120841376.87250893
5.797264780652266,632832.039286448,129132419.80778581
5.664267530355739,638287.0900539262,138491511.35597932
5.53389786210862,680587.8822916218,149974577.89489555
5.406067827446157,727086.731366457,162635099.54080227
5.280736353530088,778295.82276407,174285585.2415768
5.1578629752330745,834800.3998327671,189098763.38535136
5.037371328523561,897290.6775795277,207395698.4564922
4.919261276192731,966519.0800122224,210898660.0528697
